,x,y,z,vx,vy,vz,roll,pitch,yaw
0.1835,-0.0004551048624756657,0.00022770024113808571,10.044982546602458,-0.009928101852073216,0.0049688936387906665,0.49026003971558235,-0.006512729032025266,-0.006512591276534252,2.1176722202140544e-05
0.1836,-0.00045609767266087305,0.00022819713050196478,10.04503157260643,-0.009944331213684618,0.004977021534287837,0.490527023516217,-0.00651982757494407,-0.006519689368335246,2.1222926603384666e-05
0.1837,-0.0004570921057822415,0.00022869483265539357,10.045080625308781,-0.009960578234612464,0.004985158288275708,0.49079400720140126,-0.006526929984828289,-0.006526791325871084,2.1269206573453153e-05
0.18380000000000002,-0.00045808816360570277,0.00022919334848422115,10.0451297047095,-0.009976842924410574,0.004993303905578345,0.49106099077094634,-0.006534036261679699,-0.006533897149140877,2.1315562194705765e-05
0.1839,-0.0004590858478981438,0.000229692678874779,10.045178810808578,-0.009993125292632656,0.0050014583910198114,0.4913279742246633,-0.0065411464054996316,-0.006541006838143737,2.1361993549547147e-05
0.184,-0.0004600851604274071,0.00023019282471388098,10.045227943606,-0.010009425348832313,0.005009621749424167,0.491594957562363,-0.006548260416290308,-0.006548120392878776,2.1408500720426824e-05
0.1841,-0.0004610861029622903,0.00023069378688882338,10.045277103101755,-0.01002574310256304,0.005017793985615472,0.4918619407838561,-0.006555378294053504,-0.006555237813344661,2.1455083789839217e-05
0.1842,-0.0004620886772725466,0.00023119556628738494,10.045326289295833,-0.010042078563378225,0.00502597510441778,0.49212892388895296,-0.006562500038790997,-0.006562359099540949,2.1501742840323622e-05
0.18430000000000002,-0.00046309288512888443,0.00023169816379782672,10.045375502188222,-0.01005843174083115,0.0050341651106551475,0.4923959068774639,-0.0065696256505045625,-0.006569484251466751,2.154847795446423e-05
0.1844,-0.00046409872830296755,0.00023220158030889224,10.045424741778909,-0.010074802644474985,0.005042364009151625,0.49266288974919886,-0.006576755129195977,-0.006576613269121179,2.1595289214890114e-05
0.1845,-0.00046510620856741504,0.0002327058167098074,10.045474008067885,-0.010091191283862795,0.005050571804731263,0.4929298725039677,-0.006583888474867017,-0.006583746152503345,2.1642176704275233e-05
0.18460000000000001,-0.00046611532769580134,0.00023321087389028053,10.045523301055136,-0.01010759766854754,0.005058788502218107,0.49319685514158,-0.006591025687519458,-0.006590882901611916,2.168914050533843e-05
0.1847,-0.0004671260874626561,0.00023371675274050233,10.04557262074065,-0.010124021808082067,0.0050670141064362035,0.4934638376618452,-0.006598166767155078,-0.00659802351644645,2.1736180700843445e-05
0.18480000000000002,-0.0004681384896434643,0.00023422345415114595,10.045621967124417,-0.01014046371201912,0.005075248622209594,0.4937308200645725,-0.006605311713775652,-0.006605167997006056,2.1783297373598895e-05
0.1849,-0.0004691525360146662,0.0002347309790133669,10.045671340206423,-0.01015692338991133,0.005083492054362319,0.4939978023495708,-0.006612460527383401,-0.006612316343289404,2.1830490606458283e-05
0.185,-0.00047016822835365736,0.00023523932821880314,10.045720739986658,-0.010173400851311225,0.005091744407718417,0.494264784516649,-0.006619613207979658,-0.006619468555296049,2.1877760482320004e-05
0.18510000000000001,-0.0004711855684387885,0.000235748502659575,10.04577016646511,-0.010189896105771224,0.0051000056871019234,0.4945317665656156,-0.006626769755566642,-0.006626624633024658,2.1925107084127336e-05
0.1852,-0.0004722045580493656,0.00023625850322828517,10.045819619641765,-0.010206409162843634,0.005108275897336872,0.494798748496279,-0.0066339301701461295,-0.006633784576474788,2.1972530494868448e-05
0.18530000000000002,-0.00047322519896564997,0.00023676933081801885,10.045869099516615,-0.010222940032080659,0.005116555043247295,0.4950657303084473,-0.006641094451719454,-0.006640948385645107,2.2020030797576392e-05
0.1854,-0.000474247492968858,0.00023728098632234357,10.045918606089646,-0.01023948872303439,0.005124843129657219,0.4953327120019286,-0.0066482626002888345,-0.006648116060534726,2.206760807532911e-05
0.1855,-0.00047527144184116146,0.0002377934706353093,10.045968139360847,-0.010256055245256815,0.005133140161390671,0.4955996935765305,-0.0066554346158564925,-0.006655287601142756,2.211526241124943e-05
0.18560000000000001,-0.00047629704736568715,0.00023830678465144837,10.046017699330203,-0.010272639608299808,0.0051414461432716775,0.4958666750320606,-0.00666261049842376,-0.006662463007468755,2.2162993888505068e-05
0.1857,-0.00047732431132651714,0.00023882092926577554,10.046067285997706,-0.01028924182171514,0.005149761080124259,0.49613365636832624,-0.006669790247992413,-0.00666964227951139,2.2210802590308624e-05
0.18580000000000002,-0.00047835323550868866,0.00023933590537378796,10.046116899363343,-0.010305861895054468,0.005158084976772436,0.4964006375851345,-0.006676973864564673,-0.006676825417269772,2.225868859991759e-05
0.1859,-0.00047938382169819413,0.0002398517138714652,10.046166539427102,-0.010322499837869346,0.005166417838040224,0.49666761868229226,-0.0066841613481423146,-0.006684012420743013,2.230665200063435e-05
0.186,-0.00048041607168198105,0.0002403683556552692,10.04621620618897,-0.010339155659711215,0.005174759668751641,0.49693459965960635,-0.0066913526987271155,-0.006691203289929781,2.235469287580616e-05
0.18610000000000002,-0.0004814499872479522,0.00024088583162214437,10.046265899648935,-0.010355829370131412,0.005183110473730698,0.4972015805168832,-0.006698547916320852,-0.006698398024829633,2.2402811308825182e-05
0.1862,-0.0004824855701849653,0.00024140414266951744,10.046315619806986,-0.01037252097868116,0.005191470257801406,0.4974685612539291,-0.0067057470009252995,-0.006705596625441679,2.2451007383128453e-05
0.18630000000000002,-0.0004835228222828334,0.0002419232896952976,10.046365366663112,-0.010389230494911576,0.005199839025787773,0.49773554187055014,-0.0067129499525426795,-0.0067127990917645874,2.2499281182197906e-05
0.1864,-0.00048456174533232456,0.00024244327359787638,10.046415140217299,-0.010405957928373668,0.005208216782513805,0.4980025223665522,-0.006720156771174768,-0.0067200054237979145,2.2547632789560357e-05
0.1865,-0.00048560234112516193,0.00024296409527612775,10.046464940469535,-0.010422703288618336,0.005216603532803506,0.4982695027417409,-0.006727367456823341,-0.006727215621540328,2.2596062288787513e-05
0.18660000000000002,-0.00048664461145402375,0.0002434857556294081,10.04651476741981,-0.010439466585196368,0.005224999281480878,0.4985364829959218,-0.006734582009490175,-0.006734429684990939,2.2644569763495968e-05
0.1867,-0.0004876885581125434,0.0002440082555575562,10.046564621068109,-0.010456247827658447,0.005233404033369918,0.49880346312890006,-0.006741800429177047,-0.00674164761414886,2.2693155297347208e-05
0.18680000000000002,-0.0004887341828953092,0.0002445315959608932,10.046614501414421,-0.010473047025555144,0.005241817793294622,0.4990704431404807,-0.006749022715886177,-0.006748869409013203,2.2741818974047603e-05
0.1869,-0.0004897814875978648,0.00024505577774022264,10.046664408458735,-0.01048986418843692,0.0052502405660789855,0.49933742303046863,-0.006756248869619341,-0.006756095069583079,2.2790560877348415e-05
0.187,-0.0004908304740167084,0.00024558080179683055,10.046714342201039,-0.010506699325854131,0.005258672356547001,0.49960440279866847,-0.006763478890378316,-0.0067633245958576005,2.283938109104579e-05
0.18710000000000002,-0.0004918811439492938,0.00024610666903248523,10.046764302641318,-0.010523552447357021,0.005267113169522657,0.49987138244488455,-0.006770712778164878,-0.006770557987835435,2.2888279698980768e-05
0.1872,-0.0004929334991940295,0.0002466333803494375,10.046814289779562,-0.010540423562495724,0.005275563009829939,0.5001383619689211,-0.006777950532981247,-0.006777795245516138,2.2937256785039278e-05
